ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,13:57:57,4700.5,5,1244,0,1,0,0,83.2,a,1244,0,105.26,241
@NQ#_ZIG,12/8/2015,14:04:56,4685.5,-15,4402,0,8,0,0,-72.4,b,482,0,300,419
@NQ#_ZIG,12/8/2015,14:09:57,4695.5,10,1801,0,5,0,0,73.5,c,0,0,66.67,301
@NQ#_ZIG,12/8/2015,14:12:56,4688.75,-6.75,1413,0,5,0,0,-66.2,1,764,0,67.5,179
@NQ#_ZIG,12/8/2015,14:13:56,4695,6.25,226,0,2,0,0,79.2,a,226,0,92.59,60
@NQ#_ZIG,12/8/2015,14:21:56,4682.25,-12.75,3607,0,8,0,0,-69.6,b,460,0,204,480
@NQ#_ZIG,12/8/2015,14:25:57,4689.5,7.25,1554,0,7,0,0,60.2,c,0,0,56.86,241
@NQ#_ZIG,12/8/2015,14:30:57,4678.75,-10.75,2465,0,5,0,0,-74.6,d,0,0,148.28,300
@NQ#_ZIG,12/8/2015,14:31:57,4686.25,7.5,1151,0,3,0,0,76.6,e,0,0,69.77,60
@NQ#_ZIG,12/8/2015,14:33:56,4681.75,-4.5,1129,0,1,0,0,-82.5,1,1129,0,60,119
@NQ#_ZIG,12/8/2015,14:34:57,4690,8.25,396,0,3,0,0,77.8,2,0,0,183.33,61
@NQ#_ZIG,12/8/2015,14:35:56,4685.75,-4.25,491,0,1,0,0,-82,3,491,0,51.52,59
@NQ#_ZIG,12/8/2015,14:37:57,4690,4.25,998,0,1,0,0,82,a,998,0,100,121
@NQ#_ZIG,12/8/2015,14:42:56,4682,-8,2143,0,3,0,0,-77.4,b,934,0,188.24,299
@NQ#_ZIG,12/8/2015,14:49:57,4693.25,11.25,2931,0,5,0,0,75.2,a,0,0,140.63,421
@NQ#_ZIG,12/8/2015,14:49:58,4688.5,-4.75,0,0,1,0,0,-82.9,1,0,0,42.22,1
@NQ#_ZIG,12/8/2015,14:55:56,4697.5,9,4074,0,4,0,0,75.2,2,670,0,189.47,358
